0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 7031
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/img/home.png HTTP/1.1" 200 58395
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/img/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/img/home4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:49:20 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 7031
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:49:20 +0530] "GET /Hospital_Management_System/img/home4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:49:20 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:49:20 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
